col_date,temperature2,anomaly_temp2
2022-03-30 16:16:03.835761,24.8,1
2022-03-30 16:19:17.08213,24.8,1
2022-03-30 16:19:39.582851,24.8,1
2022-03-30 16:20:13.264762,24.8,1
2022-03-30 16:22:29.32677,24.8,1
2022-03-30 16:23:05.713815,24.8,1
2022-03-30 16:23:33.352272,24.8,1
2022-03-30 16:24:02.9988,24.8,1
2022-03-30 16:24:31.351304,24.8,1
2022-03-30 16:25:22.438814,24.8,1
2022-03-30 16:25:34.327104,24.8,1
2022-03-30 16:26:12.39607,24.8,1
2022-03-30 16:26:39.228424,24.8,1
2022-03-30 16:27:18.274002,24.8,1
2022-03-30 16:27:47.723668,24.8,1
2022-03-30 16:28:25.052948,24.8,1
2022-03-30 16:28:48.742862,24.8,1
2022-03-30 16:29:10.866965,24.8,1
2022-03-30 16:29:40.115125,24.8,1
2022-03-30 16:30:09.464612,24.8,1
2022-03-30 16:30:44.747163,24.8,1
2022-03-30 16:31:13.315654,24.8,1
2022-03-30 16:31:46.008995,24.8,1
2022-03-30 16:32:15.862871,24.8,1
2022-03-30 16:32:51.651969,24.8,1
2022-03-30 16:33:27.820871,24.8,1
2022-03-30 16:34:19.974383,24.8,1
2022-03-30 16:34:27.508236,24.8,1
2022-03-30 16:34:56.805381,24.8,1
2022-03-30 16:35:56.492614,24.8,1
2022-03-30 16:36:05.851055,24.7,1
2022-03-30 16:36:33.526389,24.7,1
2022-03-30 16:37:08.545955,24.7,1
2022-03-30 16:37:34.903347,24.7,1
2022-03-30 16:38:12.088013,24.7,1
2022-03-30 16:38:40.317505,24.7,1
2022-03-30 16:39:19.653924,24.6,1
2022-03-30 16:39:43.100265,24.6,1
2022-03-30 16:40:13.544725,24.6,1
2022-03-30 16:41:06.74341,24.6,1
2022-03-30 16:41:16.085891,24.6,1
2022-03-30 16:41:44.929032,24.5,1
2022-03-30 16:42:23.507794,24.5,1
2022-03-30 16:42:51.466039,24.5,1
2022-03-30 16:43:27.326335,24.5,1
2022-03-30 16:43:50.308188,24.5,1
2022-03-30 16:44:21.013143,24.5,1
2022-03-30 16:45:01.257179,24.5,1
2022-03-30 16:45:30.887103,24.4,1
2022-03-30 16:45:59.975369,24.4,1
2022-03-30 16:46:22.580762,24.4,1
2022-03-30 16:46:53.274296,24.4,1
2022-03-30 16:47:35.124137,24.4,1
2022-03-30 16:48:06.278936,24.4,1
2022-03-30 16:48:25.418858,24.4,1
2022-03-30 16:49:03.790405,24.4,1
2022-03-30 16:49:31.959264,24.4,1
2022-03-30 16:50:21.334045,24.4,1
2022-03-30 16:50:33.140821,24.4,1
2022-03-30 16:51:04.317553,24.4,1
2022-03-30 16:51:29.057368,24.4,1
2022-03-30 16:52:07.767246,24.4,1
2022-03-30 16:52:48.773191,24.4,1
2022-03-30 16:53:13.517225,24.4,1
2022-03-30 16:55:04.076291,24.5,1
2022-03-30 16:56:00.965875,24.5,1
2022-03-30 16:57:17.831274,24.5,1
2022-03-30 16:58:05.225615,24.5,1
2022-03-30 16:58:53.60729,24.5,1
2022-03-30 16:59:52.711534,24.5,1
2022-03-30 17:00:54.474088,24.5,1
2022-03-30 17:01:58.390954,24.5,1
2022-03-30 17:03:02.332115,24.5,1
2022-03-30 17:04:04.982592,24.5,1
2022-03-30 17:05:01.716187,24.5,1
2022-03-30 17:06:01.054539,24.5,1
2022-03-30 17:06:56.045904,24.5,1
2022-03-30 17:08:03.454352,24.5,1
2022-03-30 17:08:59.603174,24.5,1
2022-03-30 17:10:04.005425,24.5,1
2022-03-30 17:11:04.884772,24.6,1
2022-03-30 17:12:09.423722,24.6,1
2022-03-30 17:13:04.262418,24.6,1
2022-03-30 17:14:01.865406,24.6,1
2022-03-30 17:15:08.573945,24.6,1
2022-03-30 17:16:10.50613,24.6,1
2022-03-30 17:17:04.108034,24.6,1
2022-03-30 17:18:16.48566,24.6,1
2022-03-30 17:19:04.161744,24.6,1
2022-03-30 17:20:17.57529,24.6,1
2022-03-30 17:21:06.963234,24.6,1
2022-03-30 17:22:13.677359,24.6,1
2022-03-30 17:23:10.892802,24.6,1
2022-03-30 17:24:25.989245,24.6,1
2022-03-30 17:25:20.174827,24.6,1
2022-03-30 17:26:12.753315,24.6,1
2022-03-30 17:27:08.773247,24.6,1
2022-03-30 17:28:22.860562,24.6,1
2022-03-30 17:29:11.154831,24.6,1
2022-03-30 17:30:18.055828,24.6,1
2022-03-30 17:31:19.540638,24.6,1
2022-03-30 17:32:15.944816,24.6,1
2022-03-30 17:33:24.767245,24.6,1
2022-03-30 17:34:28.323361,24.6,1
2022-03-30 17:35:31.070033,24.6,1
2022-03-30 17:36:25.107373,24.6,1
2022-03-30 17:37:22.849797,24.6,1
2022-03-30 17:38:28.531955,24.6,1
2022-03-30 17:39:22.552246,24.6,1
2022-03-30 17:40:27.789063,24.7,1
2022-03-30 17:41:23.449162,24.7,1
2022-03-30 17:42:33.177298,24.7,1
2022-03-30 17:43:31.611235,24.8,1
2022-03-30 17:44:36.071663,24.8,1
2022-03-30 17:45:25.004761,24.8,1
2022-03-30 17:46:30.417989,24.8,1
2022-03-30 17:47:37.718118,24.8,1
2022-03-30 17:48:29.35453,24.9,1
2022-03-30 17:49:35.24168,24.9,1
2022-03-30 17:50:31.63091,24.9,1
2022-03-30 17:51:32.139305,25.0,1
2022-03-30 17:52:33.492521,25.0,1
2022-03-30 17:53:39.899433,25.0,1
2022-03-30 17:54:32.094222,25.0,1
2022-03-30 17:55:43.420794,25.0,1
2022-03-30 17:56:29.900784,25.0,1
2022-03-30 17:57:36.138794,25.1,1
2022-03-30 17:58:38.125958,25.1,1
2022-03-30 17:59:35.420857,25.1,1
2022-03-30 18:00:36.800955,25.1,1
2022-03-30 18:02:03.614447,25.1,1
2022-03-30 18:02:32.384875,25.1,1
2022-03-30 18:03:49.158686,25.2,1
2022-03-30 18:04:41.187537,25.2,1
2022-03-30 18:05:34.530348,25.2,1
2022-03-30 18:06:41.539832,25.2,1
2022-03-30 18:07:40.922782,25.2,1
2022-03-30 18:08:50.174835,25.2,1
2022-03-30 18:09:38.547078,25.2,1
2022-03-30 18:10:44.946422,25.3,1
2022-03-30 18:11:45.896855,25.3,1
2022-03-30 18:12:51.721434,25.3,1
2022-03-30 18:13:46.367096,25.3,1
2022-03-30 18:14:50.101216,25.3,1
2022-03-30 18:15:58.284731,25.3,1
2022-03-30 18:16:53.27807,25.3,1
2022-03-30 18:18:06.300779,25.3,1
2022-03-30 18:18:49.659199,25.3,1
2022-03-30 18:19:54.228076,25.3,1
2022-03-30 18:21:07.627262,25.3,1
2022-03-30 18:21:46.023972,25.4,1
2022-03-30 18:23:04.769056,25.4,1
2022-03-30 18:23:48.46697,25.3,1
2022-03-30 18:24:56.080294,25.3,1
2022-03-30 18:25:53.250956,25.3,1
2022-03-30 18:26:54.920432,25.3,1
2022-03-30 18:27:52.361666,25.3,1
2022-03-30 18:29:02.346159,25.3,1
