gateway_id,node_id, timestamp,value.temp1,value.temp2,value.temp3,value.hum1,value.hum2,value.water_level,value.water_leak,value.door,value.fire,value.status_temp1,value.status_temp2,value.status_temp3,value.status_hum1,value.status_hum2,value.status_water_level,value.status_water_leak,value.status_door,value.status_fire,value.anomaly_score_temp1,value.anomaly_score_temp2,value.anomaly_score_temp3,value.anomaly_score_hum1,value.anomaly_score_hum2,value.anomaly_score_waterlevel,value.anomaly_score_waterleak,value.anomaly_score_door,value.anomaly_score_fire
,LW111100001111BBCD,5/30/2022 11:10:37,27.2,27.2,27.1,51.4,50,3136,0,0,0,normal,normal,normal,abnormal,abnormal,abnormal,normal,normal,normal,0.21,0.21,0.2,-0.04,-0.04,-0.02,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:11:38,26.7,27.2,27.2,51.5,49.9,3133,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.21,0.21,0.21,-0.04,-0.04,0.12,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:12:39,27.3,27.3,27.2,51,49.9,3135,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.21,0.2,0.21,-0.03,-0.04,0.02,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:13:41,27.3,27.3,27.2,50.5,49.2,3133,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.21,0.2,0.21,-0.03,-0.03,0.12,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:14:42,26.7,27.3,27.2,50.3,49.1,2416,0,0,0,normal,normal,normal,abnormal,abnormal,abnormal,normal,normal,normal,0.21,0.2,0.21,-0.02,-0.03,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:15:44,27.3,27.3,27.3,49.5,48.1,3137,0,0,0,normal,normal,normal,abnormal,abnormal,abnormal,normal,normal,normal,0.21,0.2,0.17,-0.02,-0.01,-0.03,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:16:45,26.8,27.3,27.2,48.9,47.7,250,0,0,0,normal,normal,normal,abnormal,abnormal,abnormal,normal,normal,normal,0.21,0.2,0.21,-0.01,0,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:17:47,27.3,27.3,27.2,48.7,47.2,250,0,0,0,normal,normal,normal,abnormal,normal,abnormal,normal,normal,normal,0.21,0.2,0.21,0,0.01,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:18:48,27.3,27.3,27.3,48.2,46.9,2561,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.2,0.17,0,0.01,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:19:49,27.3,27.3,27.3,48,46.8,3140,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.2,0.17,0.01,0.02,-0.05,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:20:51,27.3,27.3,27.3,47.7,46.2,1984,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.2,0.17,0.01,0.04,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:21:52,27.3,27.3,27.3,46.5,45.4,827,0,0,0,normal,normal,normal,normal,normal,normal,normal,normal,normal,0.21,0.2,0.17,0.04,0.09,0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:22:54,26.8,27.3,27.3,45.9,45.1,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.2,0.17,0.07,0.11,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:23:56,27.3,27.3,27.3,45.7,44.7,3141,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.2,0.17,0.08,0.11,-0.05,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:24:57,27.3,27.3,27.3,45.4,44.1,1406,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.2,0.17,0.1,0.13,-0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:25:58,27.3,27.3,27.3,44.6,44.1,3141,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.2,0.17,0.14,0.13,-0.05,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:26:59,26.8,27.3,27.3,44.6,44.1,1406,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.2,0.17,0.14,0.13,-0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:28:01,27.3,27.3,27.3,44.1,43.3,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.2,0.17,0.14,0.13,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:29:03,27.2,27.2,27.3,43.6,42.9,828,0,0,0,normal,normal,normal,normal,normal,normal,normal,normal,normal,0.21,0.21,0.17,0.12,0.11,0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:30:05,27.2,27.2,27.3,43.3,42.9,1984,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.17,0.12,0.11,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:31:05,27.2,27.2,27.3,43.5,43.1,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.17,0.12,0.13,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:32:07,27.2,27.2,27.3,43,42.5,2562,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.17,0.11,0.1,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:33:09,27.2,27.2,27.2,42.7,42.4,828,0,0,0,normal,normal,normal,normal,normal,normal,normal,normal,normal,0.21,0.21,0.21,0.11,0.1,0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:34:10,27.2,27.2,27.2,42.6,42.1,1406,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.1,0.1,-0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:35:11,27.2,27.2,27.2,42.5,42,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.1,0.09,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:36:12,27.2,27.2,27.2,42.2,41.6,2418,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.1,0.1,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:37:14,27.2,27.2,27.2,42,41.5,1406,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.11,0.1,-0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:38:15,27.2,27.2,27.2,41.6,41.6,1406,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.12,0.1,-0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:39:18,26.8,27.2,27.2,41.4,41.4,3141,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.13,0.1,-0.05,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:40:20,26.8,27.1,27.2,41.1,40.8,2563,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.14,0.12,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:41:21,27.1,27.1,27.3,41.2,40.5,3141,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.17,0.13,0.13,-0.05,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:42:22,27.1,27.1,27.3,41.4,41.2,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.17,0.13,0.11,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:43:23,26.7,27.1,27.2,40.9,40.7,3141,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.14,0.13,-0.05,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:44:25,27.1,27.1,27.2,41.2,40.5,1984,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.13,0.13,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:45:26,27.1,27.1,27.3,40.9,40.3,2561,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.17,0.14,0.14,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:46:27,27.1,27.1,27.2,40.8,40.7,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.14,0.13,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:47:29,27.1,27.1,27.2,40.7,40.4,3140,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.14,0.14,-0.05,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:48:31,27.1,27.1,27.2,40.5,40,1406,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.15,0.14,-0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:49:33,27.1,27.1,27.2,40.4,39.9,1984,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.15,0.14,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:50:40,27.1,27.1,27.2,40.2,40,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.15,0.14,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:51:37,27.1,27.1,27.2,40.1,39.7,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.16,0.15,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:52:37,27.1,27.1,27.2,39.9,39.7,2562,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.16,0.15,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:53:38,26.7,27.1,27.2,40.1,39.9,2562,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.16,0.14,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:54:40,27.1,27.1,27.2,40.1,39.5,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.16,0.15,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:55:42,26.6,27.1,27.2,40.5,39.5,1984,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.23,0.21,0.21,0.15,0.15,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:56:43,27.1,27.1,27.2,39.8,39.8,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.16,0.14,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:57:45,27.1,27.1,27.2,40.1,39.8,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.16,0.14,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:58:47,27.1,27.1,27.2,39.8,39.7,1406,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.16,0.15,-0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:59:48,27.1,27.1,27.2,39.8,39.9,828,0,0,0,normal,normal,normal,normal,normal,normal,normal,normal,normal,0.21,0.21,0.21,0.16,0.14,0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:00:51,27.1,27.1,27.2,39.6,39.2,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.17,0.16,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:01:52,27.1,27.1,27.2,39.5,39.1,1984,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.18,0.16,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:02:54,26.6,27.1,27.1,39.8,39.3,3141,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.23,0.21,0.2,0.16,0.16,-0.05,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:03:54,27.1,27.1,27.1,39.5,39.5,828,0,0,0,normal,normal,normal,normal,normal,normal,normal,normal,normal,0.21,0.21,0.2,0.18,0.15,0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:04:56,27.1,27.1,27.2,39.2,39,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.19,0.16,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:05:56,26.6,27.1,27.2,40.1,39.1,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.23,0.21,0.21,0.16,0.16,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:06:58,26.6,27.1,27.1,39.3,39.2,1406,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.23,0.21,0.2,0.19,0.16,-0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:08:00,27.1,27.1,27.2,39.4,39,1406,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.18,0.16,-0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:09:02,27.1,27.1,27.1,39,38.8,2562,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.2,0.19,0.15,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:10:04,27.1,27.1,27.2,39,38.8,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.19,0.15,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:11:05,27.1,27.1,27.2,38.9,38.7,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.21,0.21,0.19,0.15,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:12:07,26.6,27.1,27.2,38.9,38.7,1406,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.23,0.21,0.21,0.19,0.15,-0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:13:08,27,27,27.1,39.4,39,828,0,0,0,normal,normal,normal,normal,normal,normal,normal,normal,normal,0.2,0.19,0.2,0.18,0.16,0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:14:09,27,27,27.1,39.2,39,1984,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.2,0.19,0.2,0.19,0.16,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:15:11,26.6,27,27.1,38.7,39,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.23,0.19,0.2,0.19,0.16,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:16:13,26.6,27,27.2,38.7,38.9,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.23,0.19,0.21,0.19,0.16,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:17:15,27,27,27.1,39.1,38.6,828,0,0,0,normal,normal,normal,normal,normal,normal,normal,normal,normal,0.2,0.19,0.2,0.19,0.15,0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:18:16,27,27,27.1,38.8,38.5,828,0,0,0,normal,normal,normal,normal,normal,normal,normal,normal,normal,0.2,0.19,0.2,0.19,0.15,0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:19:17,27,27,27.1,39,38.5,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.2,0.19,0.2,0.19,0.15,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:20:19,27,27,27.1,38.6,38.5,828,0,0,0,normal,normal,normal,normal,normal,normal,normal,normal,normal,0.2,0.19,0.2,0.19,0.15,0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:21:21,26.6,27,27.1,38.6,38.2,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.23,0.19,0.2,0.19,0.16,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:22:22,27,27,27.1,38.7,38.5,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.2,0.19,0.2,0.19,0.15,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:23:23,26.6,27,27.1,38.9,38.7,1406,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.23,0.19,0.2,0.19,0.15,-0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:24:25,27,27,27.1,38.4,38.2,2562,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.2,0.19,0.2,0.18,0.16,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:25:26,27,27,27.1,38.3,38.1,3141,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.2,0.19,0.2,0.19,0.16,-0.05,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:26:28,27,27,27.1,38.3,37.8,3139,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.2,0.19,0.2,0.19,0.17,-0.05,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:27:30,27,27,27.1,38.2,38,3141,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.2,0.19,0.2,0.19,0.16,-0.05,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:28:31,27,27,27.1,38.2,38.1,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.2,0.19,0.2,0.19,0.16,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:29:34,26.5,27,27.1,38,37.9,2562,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.23,0.19,0.2,0.18,0.17,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:30:35,27,27,27.1,38.3,38,1406,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.2,0.19,0.2,0.19,0.16,-0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:31:36,27,27,27.1,37.9,37.6,2562,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.2,0.19,0.2,0.19,0.17,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:32:37,27,27,27.1,38,37.5,250,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.2,0.19,0.2,0.18,0.18,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:33:39,27,27,27.1,37.8,37.6,3140,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.2,0.19,0.2,0.18,0.17,-0.05,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:34:41,26.5,27,27.1,37.4,37.4,3140,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.23,0.19,0.2,0.2,0.18,-0.05,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:35:42,27,27,27.1,37.3,37.1,3141,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.2,0.19,0.2,0.21,0.2,-0.05,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:36:43,26.5,27,27.1,37.2,36.8,3142,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.23,0.19,0.2,0.21,0.2,-0.05,0,0.1,0
,LW111100001111BBCD,5/30/2022 12:37:45,27,27,27,37.2,37,2418,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.2,0.19,0.18,0.21,0.2,-0.1,0,0.1,0
